latitude,longitude,spp_richness,N_dep_kghayr,precip_mm,temp_C_ave,pH,CL_kghayr_lower,CL_kghayr_upper,CL_kghayr,EX_kghayr,two_class_veg,NVC_1_name,NVC_2_name,NVC_Alliance,proj_orig
36.3,-81.7,38,11.29,1403.59,9.43,5,11.89,13.33,12.55,-1.25,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.3,-81.7,34,11.29,1403.59,9.43,5.4,12.72,14.51,13.52,-2.23,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.2,-81.9,23,11.68,1352.19,9.24,5,11.98,13.46,12.66,-0.98,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.2,-81.9,18,11.64,1420.34,8.96,5,11.92,13.37,12.58,-0.95,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,CVS
36.2,-81.9,26,11.64,1420.34,8.96,4.5,10.99,12.22,11.57,0.07,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,CVS
36,-81.9,13,11.62,1408.43,10.04,5.3,12.6,14.33,13.38,-1.76,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
36,-81.9,7,11.61,1408.43,10.04,4.5,10.92,12.14,11.5,0.11,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
36.1,-82,20,12.14,1281.77,9.25,5.4,12.72,14.51,13.52,-1.39,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.1,-82,27,12.05,1295.18,9.27,5.2,12.29,13.89,13.02,-0.97,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.8,-82.2,24,11.33,1430.98,11.02,5.1,12.17,13.71,12.87,-1.54,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.8,-82.2,31,11.33,1430.98,11.02,5.5,12.81,14.64,13.63,-2.3,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.1,-81.9,23,11.86,1325.19,9.71,4.5,11.06,12.29,11.64,0.21,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.1,-81.9,26,11.86,1325.19,9.71,4.8,11.6,12.95,12.22,-0.36,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.2,-81.9,19,11.64,1420.34,8.96,5,11.92,13.37,12.58,-0.95,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,CVS
36.2,-81.9,20,11.64,1420.34,8.96,4.8,11.67,13.03,12.29,-0.66,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,CVS
36.3,-81.7,35,11.29,1403.59,9.43,5.2,12.42,14.06,13.16,-1.87,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.3,-81.7,30,11.29,1403.59,9.43,5.6,13.08,15.04,13.96,-2.66,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.8,-82.2,40,11.53,1412.27,10.81,5.5,12.96,14.86,13.81,-2.29,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
