latitude,longitude,spp_richness,N_dep_kghayr,precip_mm,temp_C_ave,pH,CL_kghayr_lower,CL_kghayr_upper,CL_kghayr,EX_kghayr,two_class_veg,NVC_1_name,NVC_2_name,NVC_Alliance,proj_orig
46.1,-83.7,15,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,11,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,12,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,17,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,16,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,12,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
45.7,-86.6,25,5.72,732.15,5.98,7,8.85,9.22,9.03,-3.31,open_canopy,Shrubland,Evergreen shrubland,Juniperus communis Shrubland Alliance,Alvar
45.3,-83.6,19,8.89,751.28,6.67,7.3,8.98,9.35,9.16,-0.27,open_canopy,Shrubland,Evergreen shrubland,Juniperus communis Shrubland Alliance,Alvar
46,-83.7,15,8.63,782.47,5.69,7.2,15.86,19.38,17.43,-8.81,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-84.9,17,7.94,822.37,5.05,5.6,13.08,15.04,13.96,-6.02,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,Alvar
46,-83.7,15,8.63,792.48,5.65,7.2,15.86,19.38,17.43,-8.8,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
45.9,-87.2,27,7.3,755.55,5.72,6.7,15.01,18.01,16.35,-9.04,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-85.6,19,5.7,811.79,5.48,6.2,14.15,16.65,15.26,-9.56,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,Alvar
46,-83.8,25,5.53,768.74,5.68,7.5,16.38,20.22,18.09,-12.55,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76,19,10.03,950.36,7.5,6.7,15.01,18.01,16.35,-6.31,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76,25,10.03,950.36,7.5,6.7,15.01,18.01,16.35,-6.31,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76,27,10.03,950.36,7.5,6.7,15.01,18.01,16.35,-6.31,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,14,10.39,971.36,7.44,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,29,10.39,971.36,7.44,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,20,10.39,971.36,7.44,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,36,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,34,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,9,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,20,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,26,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,20,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,14,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,13,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,17,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,30,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,22,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,28,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,15,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,15,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,23,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,17,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
40.6,-103.5,16,5.11,395.67,9.61,7,7.65,8.66,8.14,-3.03,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.8,-104,5,4.83,365.66,8.38,7.5,7.97,8.89,8.41,-3.58,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.7,-103.9,9,4.79,381.71,9.22,7.9,8.12,9.06,8.57,-3.78,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.9,-104.4,4,5.08,368.6,8.88,7.9,8.13,9.06,8.57,-3.49,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.9,-104.4,5,5.08,369.18,8.88,7.9,8.13,9.06,8.57,-3.5,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.8,-104.8,4,5.19,340.85,8.68,7.2,7.72,8.72,8.2,-3.01,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.8,-104.8,5,5.19,340.85,8.68,7,7.61,8.63,8.1,-2.91,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.7,-104.1,4,5.08,364.23,8.99,7,7.64,8.65,8.12,-3.04,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.7,-104.1,3,5.08,365.29,8.94,7.5,7.91,8.87,8.37,-3.29,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.7,-104,1,5.08,367.31,8.94,7.5,7.91,8.88,8.37,-3.29,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.8,-104.7,1,5.21,343.71,8.75,8.2,8.22,9.17,8.68,-3.47,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
41,-103.9,1,5.28,403.39,8.12,7,7.84,8.71,8.26,-2.98,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
41,-103.9,5,5.28,403.83,8.08,7.2,7.96,8.81,8.36,-3.08,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.6,-103.8,2,5.24,386.64,9.16,7.2,7.78,8.75,8.25,-3.01,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.8,-104.5,2,5.03,362.7,8.94,7.9,8.1,9.05,8.56,-3.53,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.4,-104.5,2,6.46,345.52,9.73,7.2,7.61,8.69,8.13,-1.67,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
40.7,-104.5,3,5.18,346.29,9.18,7.2,7.67,8.71,8.17,-2.99,open_canopy,Herbaceous Vegetation,Perennial graminoid vegetation,Bouteloua gracilis Herbaceous Alliance,CO
34.6,-77.3,14,11.73,1409.86,17.28,4.5,7.53,8.96,8.25,3.49,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-77,14,9.99,1382.42,17.05,5.1,12.17,13.71,12.87,-2.88,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.5,20,10.84,1403.3,16.98,4.5,10.99,12.22,11.57,-0.73,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-77.2,29,10.42,1419.98,17.15,5.5,12.9,14.77,13.74,-3.32,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-77.2,20,10.42,1419.98,17.15,5.5,8.07,9.44,8.75,1.66,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.8,-77.1,40,10.45,1430.28,17.28,4.5,10.99,12.22,11.57,-1.12,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.3,17,11.7,1410.68,17.27,5.5,12.9,14.77,13.74,-2.04,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.5,-77.7,13,10.83,1383.54,16.53,4.5,10.99,12.22,11.57,-0.74,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.5,-77.7,31,10.81,1402.4,16.73,3.2,7.88,9.5,8.75,2.07,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.4,-77.8,40,10.93,1417.03,16.73,4.5,10.99,12.22,11.57,-0.64,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.7,44,11.2,1364.42,16.5,5.5,12.9,14.77,13.74,-2.54,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.5,-77.7,30,10.81,1402.4,16.73,3.2,7.88,9.5,8.75,2.07,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.5,-77.7,40,10.81,1402.4,16.73,3.2,7.88,9.5,8.75,2.07,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.2,-79.2,43,10.37,1174.82,16.47,5.5,7.76,8.95,8.35,2.02,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35.1,-79.3,38,10.8,1175.46,16.38,5.5,7.77,8.96,8.36,2.44,open_canopy,Woodland,Evergreen woodland,Pinus palustris / Quercus spp. Woodland Alliance,CVS
34.1,-78.3,52,10.49,1381.23,17.01,3.2,7.88,9.5,8.75,1.75,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.7,33,10.75,1370.86,16.5,4.5,10.99,12.22,11.57,-0.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.8,-79.1,38,11.82,1171.32,16.63,4.8,11.6,12.95,12.22,-0.4,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
34.1,-78.3,24,10.49,1381.23,17.01,3.2,7.88,9.5,8.75,1.75,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.1,-78.3,45,10.49,1381.23,17.01,3.2,7.88,9.5,8.75,1.75,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34,-78.1,3,11.35,1451.6,17.26,5.1,12.17,13.71,12.87,-1.53,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
33.9,-78.2,9,11.26,1438.48,17.23,5.1,12.17,13.71,12.87,-1.61,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-79.2,45,11.84,1170.35,16.61,5.1,12.17,13.71,12.87,-1.03,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
30.4,-83.2,61,8.26,1312.16,20.18,4.8,7.18,8.81,7.99,0.27,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35.2,-77.1,4,10.16,1326.52,17.09,5.1,12.17,13.71,12.87,-2.72,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-77.3,4,10.44,1418.84,17.17,5.5,8.07,9.44,8.75,1.69,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.7,-77.3,21,10.42,1419.98,17.15,5.5,12.9,14.77,13.74,-3.32,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35,-77,10,9.99,1380.55,17.04,4.5,10.99,12.22,11.57,-1.58,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.3,22,11.7,1410.66,17.28,5.4,12.72,14.51,13.52,-1.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.7,22,10.75,1370.86,16.5,4.5,10.99,12.22,11.57,-0.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34,-78,5,11.83,1465.8,17.29,5.4,8.07,9.49,8.78,3.05,open_canopy,Woodland,Evergreen woodland,Pinus palustris / Quercus spp. Woodland Alliance,CVS
34.6,-77.7,27,10.75,1370.86,16.5,4.5,10.99,12.22,11.57,-0.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.8,-79.6,5,10.03,1146.69,16.51,5,7.44,8.68,8.05,1.98,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.8,-79.6,8,10.03,1146.69,16.51,5,7.44,8.68,8.05,1.98,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.1,-78.3,18,10.49,1381.23,17.01,3.2,7.88,9.5,8.75,1.75,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.1,-78.3,54,10.49,1381.23,17.01,3.2,7.88,9.5,8.75,1.75,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34,-78.1,10,11.81,1458.1,17.22,5.1,12.17,13.71,12.87,-1.06,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.8,-77,26,10.44,1445.36,17.29,4.8,11.6,12.95,12.22,-1.78,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.8,-77,16,10.44,1443.82,17.26,5.5,12.9,14.77,13.74,-3.3,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.3,14,11.7,1410.66,17.28,5.4,12.72,14.51,13.52,-1.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-77.7,21,10.75,1370.86,16.5,4.5,10.99,12.22,11.57,-0.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34,-78,7,11.83,1465.8,17.29,5.4,8.07,9.49,8.78,3.05,open_canopy,Woodland,Evergreen woodland,Pinus palustris / Quercus spp. Woodland Alliance,CVS
34.5,-77.7,26,10.81,1402.4,16.73,3.2,7.88,9.5,8.75,2.07,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.4,-80.1,24,11.47,1166.69,15.56,4.9,11.79,13.2,12.44,-0.97,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,15,11.5,1169.24,15.61,5.5,12.9,14.77,13.74,-2.24,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,34,11.44,1157.78,15.93,5.5,12.9,14.77,13.74,-2.3,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.6,-79.9,2,11.44,1154.53,15.35,5.9,13.62,15.83,14.61,-3.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.6,-79.9,6,11.44,1156.38,15.4,5.9,13.62,15.83,14.61,-3.18,closed_canopy,Forest,Deciduous forest,"Quercus prinus - (Quercus coccinea, Quercus velutina) Forest Alliance",CVS
35.4,-80,15,10.89,1160.35,15.54,5.5,12.9,14.77,13.74,-2.85,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,15,10.59,1164.21,15.98,5.8,13.44,15.57,14.39,-3.8,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
35.4,-80.1,4,11.47,1163.36,15.83,5,11.98,13.46,12.66,-1.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,3,11.47,1163.36,15.83,5,11.98,13.46,12.66,-1.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.3,-80.1,4,10.59,1159.35,15.78,5.8,13.44,15.57,14.39,-3.8,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.4,-80.1,10,11.5,1170.85,15.98,5.9,13.62,15.83,14.61,-3.11,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,42,11.44,1157.82,15.86,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,3,11.44,1157.82,15.86,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,6,11.44,1157.82,15.86,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,1,11.44,1157.82,15.86,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.6,-79.9,2,11.44,1154.53,15.35,5.9,13.62,15.83,14.61,-3.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.6,-79.9,1,11.44,1155.33,15.4,5.9,13.62,15.83,14.61,-3.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - Quercus (falcata, stellata) Forest Alliance",CVS
35.3,-80,26,10.63,1147.43,15.82,5.5,12.9,14.77,13.74,-3.12,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.5,-79.8,34,11.13,1167.37,15.42,5.5,12.9,14.77,13.74,-2.61,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,26,11.47,1163.36,15.83,5,11.98,13.46,12.66,-1.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.3,-80.1,9,10.59,1159.35,15.78,5.8,13.44,15.57,14.39,-3.8,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.3,-80.1,14,10.56,1150.33,16,5.8,13.44,15.57,14.39,-3.83,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.3,-80.1,5,10.59,1159.35,15.78,5.8,13.44,15.57,14.39,-3.8,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.4,-80,18,11.44,1157.82,15.86,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.5,-79.7,4,10.3,1114.8,14.38,4.5,11.03,12.27,11.61,-1.31,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,10,11.44,1161.58,15.8,4.5,10.99,12.22,11.57,-0.13,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,1,11.52,1164.78,15.57,5.9,13.62,15.83,14.61,-3.09,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.4,-80,5,11.44,1158.86,15.58,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,4,11.44,1158.86,15.58,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.5,-80,6,11.26,1159.92,15.65,5.9,13.62,15.83,14.61,-3.35,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.3,-79.9,7,10.61,1154.44,15.89,5.6,13.08,15.04,13.96,-3.35,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,13,10.59,1164.21,15.98,4.5,10.99,12.22,11.57,-0.98,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
35.2,-79.8,11,10.56,1163.86,15.99,5.5,12.9,14.77,13.74,-3.18,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.3,-80.1,4,10.48,1149.89,16.06,5.9,13.62,15.83,14.61,-4.14,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,5,11.52,1164.78,15.57,5.5,12.9,14.77,13.74,-2.22,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.4,-80.1,4,11.52,1165.27,15.59,5.5,12.9,14.77,13.74,-2.22,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,13,11.5,1171.18,15.92,5.5,12.9,14.77,13.74,-2.24,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,8,11.5,1171.21,15.87,5.5,12.9,14.77,13.74,-2.24,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,23,11.43,1166.69,15.56,4.9,11.79,13.2,12.44,-1.01,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,16,11.44,1164.75,15.74,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,6,10.9,1162.09,15.51,5.5,12.9,14.77,13.74,-2.84,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.5,-80.1,42,11.12,1154.65,15.43,5.5,12.9,14.77,13.74,-2.62,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80.1,16,11.52,1164.78,15.57,5.9,13.62,15.83,14.61,-3.09,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,6,11.44,1159.71,15.6,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,3,11.44,1160,15.61,5.9,13.62,15.83,14.61,-3.17,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-80,7,11.44,1161.58,15.8,4.5,10.99,12.22,11.57,-0.13,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.5,-80,23,11.26,1160.55,15.57,5.9,13.62,15.83,14.61,-3.35,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
35.5,-80,21,11.26,1160.55,15.57,5.9,13.62,15.83,14.61,-3.35,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
35.5,-80.3,7,11.87,1138.68,15.22,4.5,10.99,12.22,11.57,0.3,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.5,-80.3,1,11.87,1138.68,15.22,4.5,10.99,12.22,11.57,0.3,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
